treinnummer;aankomst (A) of vertrek (V)?;tijd;op/vanaf spoor;;
Train number;Arrival (A) or Departure (V);Time;Track;;
83011;A;0;906a;;
83013;A;28;906a;;
81002;A;55;104a;;
83021;A;88;906a;;
80428;A;113;104a;;
80206;A;129;104a;;
80457;V;291;104a;;
83048;V;335;906a;;
83024;V;349;906a;;
80207;V;351;104a;;
83052;V;379;906a;;
83056;V;439;906a;;
83058;V;482;906a;;
83055;A;611;906a;;
83059;A;627;906a;;
83049;A;693;906a;;
83057;A;709;906a;;
83069;A;779;906a;;
83082;V;815;906a;;
83077;A;828;906a;;
83070;V;853;906a;;
83071;A;867;906a;;
83067;A;876;906a;;
83079;A;883;906a;;
83007;A;978;906a;;
78884;A;996;906a;;
83003;A;1010;906a;;
83099;A;1052;906a;;
83086;V;1183;906a;;
78810;V;1210;906a;;
83002;V;1216;906a;;
83020;V;1233;906a;;
83004;V;1239;906a;;
83006;V;1247;906a;;
78821;V;1249;104a;;
83008;V;1259;906a;;
83010;V;1274;906a;;
83014;V;1323;906a;;
83016;V;1352;906a;;
83018;V;1382;906a;;
